author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,predicted_langs
Томск1,License not activated!,"Paid for 1 year for 3990 rubles, but the license was not activated !!! The support servant is silent, what should I do?",Не активировалась лиценция!,"Оплатил на 1 год за 3990 руб, но лицензия не активировалась!!! Слжуба поддержки молчит, что мне делать?",1.00,RU,1.5.0,2020-07-15T10:42:10,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LReO-GITnxj_WvY1jVgGG4A,"ru;bg;mk"
HR HH,test,beyond expectation,test,över förväntan,5.00,SE,1.5.0,2020-07-11T09:09:59,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LUr4gH-vrkaJf_9E8Sk3OAA,sv
Windows爱好者,Bang Bang Bang,very good,棒棒棒,太棒啦,5.00,CN,1.5.0,2020-07-11T01:45:47,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LnlEi8QmuT5Q1dj2kcWff9Q,zh_classical
응나만뻬고,I clicked the wrong way and it made payment.,"There was a two-week trial version
I made a payment when I clicked the wrong way.
I thought it was just a card registration.
I'm embarrassed
Please refund.",잘못 클릭해서 결제가 되엇습니다.,"체험판2주일이 있다고했는데
어떻게 잘못 클릭을 하다보니 결제가 되어버렸습니다.
그저 카드등록인줄아랐는데 갑자기 결제가 되서 
당황스럽네요
환불처리부탁드립니다.",5.00,KR,1.5.0,2020-07-10T21:17:04,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LeMbUEb1K39VAaqfyreW7gA,ko
fookroc,Crazy thinking about money,"The charges are too expensive, and they are charged every year. If you want money or crazy, you can search virtualbox for free. I have been using this for so many years. I don’t know where this software and VB are strong? But at this price, I think it's good to use free",想钱想疯了吧,收费太贵了，还每年都收费，想钱想疯了，大家可以搜索virtualbox完全免费，这么多年也一直用这个，我不知道这个软件和VB强在哪？但就这价格，我觉得用免费的也挺好的,1.00,CN,1.5.0,2020-07-10T05:52:27,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432L90A34p8AiWln91TwUP_phw,"zh;zh_yue"
irhxbsjwn,хзхзхз,"downloaded, immediately after registration a message pops out saying they’ll drive 4 mowers and then you’ll use how I can buy goods, if I can’t even check, this application is more expensive or not",хзхзхз,"скачал, сразу после регистрации вылезает сообщение мол гони 4 косаря а потом будешь пользоваться, как я могу покупать товар, если я даже проверить не могу стоитищее это приложение или нет",1.00,RU,1.5.0,2020-07-08T20:35:13,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LIvwFiCiOw5-ISID_gewFBA,ru
maxkkon,Does not work,"I entered the card data for the subscription, something was signed, they wrote that the payment is in 2 weeks but nothing works, where it is not clear where to cancel this subscription.",Не работает,"Ввел данные карты для подписки, что-то подписалось, написали что оплата через 2 недели но ничего не работает, где эту подписку отменять непонятно.",1.00,RU,1.5.0,2020-07-08T13:47:17,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432Laoc66Y-YYyQursbabxvJaA,ru
DQPro,Delight and only,"The best you can think of. Windows is just in the window. Fiction, very comfortable. Works great!",Восторг и только,"Лучшее что только можно придумать. Виндовс просто в окне. Фантастика, очень удобно. Работает прекрасно!",5.00,UA,1.5.0,2020-07-07T19:30:24,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LSXlnt79Ybyn2XZxJyXH2Zg,ru
jaga25545,dumb,can get this dumb app to connect to wifi,dumb,can get this dumb app to connect to wifi,1.00,US,1.5.0,2020-07-07T00:43:52,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LIJbIQL1XaEmTIM-Ot8zkCg,en
jdalmul,Disappointed,Don't recommend for games. Won't be subscribing.,Disappointed,Don't recommend for games. Won't be subscribing.,1.00,CA,1.5.0,2020-07-06T14:46:13,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LXNeT05-9sJLGsQFE_Gh12w,"en;fr;la"
飞鱼奥、。,How to get in,"You can't enter without a subscription, you have to pay",怎么进去,没有订阅进不去，要付费,1.00,CN,1.5.0,2020-07-06T12:30:09,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LG1-xX2rGtWd5bSKlq-T9NA,zh
iPks,BAD,"THEY FIRST REGISTER YOU WITH ALL YOUR DATA, THEY ACCEPT THE CONDITIONS AND ONLY THEN TELL YOU THAT YOU MUST FORCE SUBSCRIBE, EVEN IF YOU ONLY WANT TO TRY 14 DAYS.",PESSIMO,"TI FANNO PRIMA REGISTRARE CON TUTTI I TUOI DATI, TI FANNO ACCETTARE LE CONDIZIONI E SOLO POI TI DICONO CHE DEVI PER FORZA ABBONARTI, ANCHE SE VUOI SOLO FARE LA PROVA DI 14 GIORNI.",1.00,IT,1.5.0,2020-07-06T08:08:17,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432L75Nkx5znRheLwDTuHaDyuA,"an;af;br;bs;ceb"
부주의한사용자,"Satisfied with app performance, failed to stop subscription within 14 days","Parallel performance is very satisfactory, but since there is no Hangeul for MAC, I stopped subscribing, but it is difficult to find a way to stop subscribing.
Check out how to stop the subscription first and use the trial version.","App  성능 만족, 14일 이내 구독 중단 실패","Parallel 성능은 매우 만족합니다만 MAC용 한글이 있어 않쓰게 되어 구독 중단을 하게 되었는데, 구독 중단 방법을 찾기 어려워 결국 14일 초과하여 어쩔 수 없이 1년 구독하게 됩니다.
구독 중단 방법을 먼저확인하고 평가판 사용학세요.",5.00,KR,1.5.0,2020-07-06T02:39:52,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LQoG7mlKVJhsxDheLcPdeAw,ko
Not-Mozart,Useless for GPU performance,Does not have OpenGL support in the NVIDIA Geforce GT 750M drivers for Linux. So unfortunatly the whole purpose of using Linux to avoid Mac depriciating OpenGL/OpenCL for 3D rendering is undermined by the lack of support in the driver too. From what I have read this is true for Windows graphics card drivers in Parallels as well.,Useless for GPU performance,Does not have OpenGL support in the NVIDIA Geforce GT 750M drivers for Linux. So unfortunatly the whole purpose of using Linux to avoid Mac depriciating OpenGL/OpenCL for 3D rendering is undermined by the lack of support in the driver too. From what I have read this is true for Windows graphics card drivers in Parallels as well.,2.00,US,1.5.0,2020-07-06T00:12:48,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LYLPdxbbwJhrw8kYobZriWw,en
Golfistero,lagy,only litel bit lagy,lagy,only litel bit lagy,5.00,CL,1.5.0,2020-07-06T00:04:40,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LMhe8Z1N4LqyWLUH-sHKmow,"hu;af;en;nl;tl"
Qnmdapple1234,Download win system is slow,"Downloading win system is too slow, 500m broadband, 9 hours to download 5g win10, drunk",下载win系统很慢,下载win系统太慢了，500m的宽带，下载5g的win10要9的小时，醉了,1.00,CN,1.5.0,2020-07-05T06:57:29,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LAPTm75ZgP_0R2QzoEQzkNw,zh
gabriele morosi,wonderful,I didn't think it was so powerful ... really nice I hope I can continue to use window programs,stupenda,non pensavo fosse cosi potente..bellissima davvero spero possa continuare a usare i programmi window,5.00,IT,1.5.0,2020-07-04T20:21:46,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432L5V0HxHRRqjSbwR8WuPXRUg,"it;la"
GuilhermeDutra,Watch out!,"I didn't test the app, I was just VERY dissatisfied that it has a charge, which at first is ""normal"", it would only be interesting if they made it explicit BEFORE I download it ...",Cuidado!,"Não testei o aplicativo, só fiquei MUITO insatisfeito que ele tem uma cobrança, o que a princípio é ""normal"", só seria interessante se deixassem isso explícito ANTES de eu baixar...",1.00,BR,1.5.0,2020-07-02T13:47:56,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432L2dcRDxA5of-HP8EHUhYA6w,pt
Zubinshroff,Not Impressed,"I am giving it 3 stars only because it has allowed me to run the iOS and Windows in parallel. However I keep getting feedback to activate my windows license, I am not sure WHY? It is horrible to keep looking at this watermark constantly.",Not Impressed,"I am giving it 3 stars only because it has allowed me to run the iOS and Windows in parallel. However I keep getting feedback to activate my windows license, I am not sure WHY? It is horrible to keep looking at this watermark constantly.",3.00,SG,1.5.0,2020-07-01T02:08:23,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LXWR1q2a3kVwgxQ4-vxL51A,en
Rodoles,Better Than VMware Fusion,Have been using VMware Fusion for over 15 years and was wasting time with how slow the software was all over. Parallels is soooo much faster and on the App Store too. Thank You.,Better Than VMware Fusion,Have been using VMware Fusion for over 15 years and was wasting time with how slow the software was all over. Parallels is soooo much faster and on the App Store too. Thank You.,5.00,AU,1.5.0,2020-07-01T00:48:17,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LsGZ_5RVG0KL_EdM8r45_KA,en
TurnHeading360,DOES NOT WORK,This application does not work.,DOES NOT WORK,This application does not work.,5.00,US,1.5.0,2020-06-27T10:06:23,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LaOyPP0-ItGHtA2voGRyRCA,en
TurnHeading360,DOES NOT WORK,This application does not work.,DOES NOT WORK,This application does not work.,1.00,US,,2020-06-27T10:06:23,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432L2n0geE7uFpjnjSXkPtl5gg,en
