author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,predicted_langs
Sypresz,Pity! Get awake with your ABO software,"After reinstalling on my iMac, I found that I now have to subscribe. So far, you only had to pay the purchase price for the Lite version if you wanted to use the software as the basis for a Windows installation. The program could be used free of charge as a virtual machine with macOS or Linux. That's enough of that. After installing the current version 1.4.0, the app inevitably prompts for registration or payment. The only option is a free test for 14 days.",Schade! Werdet mal wach mit eurer ABO Software,"Nach erneuter Installation auf meinem iMac musste ich feststellen das ich ein ABO nun abschließen muss. Bislang musste man bei der Lite-Version nur den Kaufpreis bezahlen, wenn man die Software als Basis für eine Windows-Installation verwenden wollte. Als virtuelle Maschine mit macOS oder auch Linux konnte man das Programm kostenlos nutzen. Doch damit ist jetzt Schluss. Nach Installation der aktuellen Version 1.4.0 fordert die App unweigerlich zur Anmeldung bzw. Bezahlung auf. Einzig die Möglichkeit zum kostenlosen Test über 14 Tage hinweg besteht.",2.00,DE,1.4.0,2019-04-28T19:42:35,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LJGoIhjkJpBjzEVv_qJz2Mw,de
Jumboplus,No longer free,"A little bit of bait-and-switch. When it was released (and I first downloaded it), this app was free of charge to create a macOS virtual machine. It only cost money to install Windows. 
Lots of five star reviews!
Since then Parallels has changed this so that it now requires a £70  yearly subscription to do ANYTHING with this app. Ah, but they've already got the good reviews, right? 
I intend to setup a free coffee shop outside Parallels' headquarters. I'm sure people will gleefully order cappuccinos! However, when anybody actually comes to the counter to pick-up their order I will tell them that, unfortunately, their coffee now costs money.",No longer free,"A little bit of bait-and-switch. When it was released (and I first downloaded it), this app was free of charge to create a macOS virtual machine. It only cost money to install Windows. 
Lots of five star reviews!
Since then Parallels has changed this so that it now requires a £70  yearly subscription to do ANYTHING with this app. Ah, but they've already got the good reviews, right? 
I intend to setup a free coffee shop outside Parallels' headquarters. I'm sure people will gleefully order cappuccinos! However, when anybody actually comes to the counter to pick-up their order I will tell them that, unfortunately, their coffee now costs money.",1.00,GB,1.4.0,2019-04-28T15:26:20,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LULsZ4LA-_qhoVHuLuMrf6w,en
Сан Саныч 81,price,"Gentlemen, the developers are ready to buy for 5000!
1 time and forever. But leave your scam with a subscription for your loved ones.",цена,"Господа разработчики купить за 5000 готов!
1 раз и на всегда. Но вот ваши лохотроны с подпиской оставте для своих близких.",1.00,RU,1.4.0,2019-04-26T05:53:58,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LOqmmO5_xAg0ywA7VAAX_8A,ru
LSMW:(,Very Disappointed,"I was excited about this program because it was compatable with Sage50 but it kept deleting parts of the program so I was reinstalling and reinstalling. The only reason they get one star is because their Tech group was doing their best to help me but I ended up just buying a PC rather than trying to deal with Paraellels, less stress.",Very Disappointed,"I was excited about this program because it was compatable with Sage50 but it kept deleting parts of the program so I was reinstalling and reinstalling. The only reason they get one star is because their Tech group was doing their best to help me but I ended up just buying a PC rather than trying to deal with Paraellels, less stress.",1.00,CA,1.4.0,2019-04-24T16:45:25,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LrYDnIXn_HhghwA6iEs0enA,en
ciccio357,79 euros per year ????,You should be ashamed,79 euro annuali ????,Dovreste vergognarvi,1.00,IT,1.4.0,2019-04-23T21:43:55,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432L4CZhpdpIqkFu6bR12zBSHg,"it;br;la;af;eo"
Hodawa91,Excellent application but ...,"Good morning all,
I love this application but ... it just lacks the chrome OS otherwise I would have rated 5 out of 5.
Thank you for your work !!!
May you adjust to your service catalog :).
Good continuation",Excellente application mais ...,"Bonjour à tous,
j'adore cette application mais ... il manque juste le chrome OS sinon j'aurais noté 5 sur 5.
Merci pour votre travail !!!
Puissiez vous vous ajuster à votre catalogue de service :).
Bonne continuation",4.00,FR,1.4.0,2019-04-23T07:03:59,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LoXwjVQL_Xx8mwS9x2lNCxQ,fr
jt318bhnv,great if you cant get boot camp to work,boot camp failed 10 times  this JUST WORKS,great if you cant get boot camp to work,boot camp failed 10 times  this JUST WORKS,5.00,US,1.4.0,2019-04-23T01:46:29,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LVFfP3blWP85r9lMKGM4TPA,en
Psym_,"Software is fine, support is disappointing","Software stopped working at the end of the trial period. It took me 6 days of back and forth on the support to get the problem fixed at their end. Considering this is a relatively technical product, it's painful to be instructed to reboot your mac, reinstall the product, check updates, etc... even after making it clear to support in the support request that all this has been tried.","Software is fine, support is disappointing","Software stopped working at the end of the trial period. It took me 6 days of back and forth on the support to get the problem fixed at their end. Considering this is a relatively technical product, it's painful to be instructed to reboot your mac, reinstall the product, check updates, etc... even after making it clear to support in the support request that all this has been tried.",2.00,AU,1.4.0,2019-04-22T08:04:49,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LoVrRQVUSGqghy68AH_0JSw,en
Simone CPL,Great,"I activated the subscription and it has been very useful, however, I need help. I have an embroidery matrix program called PE Desing that only runs on Windows, parallels accepted the installation, however, when I try to open it, the program does not recognize the connected USB key .. how to proceed to be able to use this program that is fundamental for me .. can help me",Otimo,"Ativei a assinatura e tem sido muito util, porem, necessito de auxilio. tenho um programa de matriz de bordado chamado PE Desing que so roda em Windows, o parallels aceitou a instação, porém, quanto tento abir, o programa não reconhece a chave usb conectada .. como proceder para conseguir utilizar este programa que é fundamental  para mim.. conseguem me ajudar",5.00,BR,1.4.0,2019-04-22T00:30:20,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432Ll9lBMGIay40OYx-fOBr40g,pt
A Really Creative Nickname,Bait and switchy!,Latest update rendered software unusable UNLESS you signup for an account and PAY a subscription fee WITH ABSOULTELY NO WARNING.  No where in the release notes was this stated.  Unacceptable.  Uninstalled.  Moved to a different product.,Bait and switchy!,Latest update rendered software unusable UNLESS you signup for an account and PAY a subscription fee WITH ABSOULTELY NO WARNING.  No where in the release notes was this stated.  Unacceptable.  Uninstalled.  Moved to a different product.,1.00,US,1.4.0,2019-04-19T13:38:29,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LOlU8rdwS1N1Iz20qd5PLiw,en
Nogood-K,Rip off,With the new update you have to pay also for the virtualization of linux and mac. bad,Fregatura,Con il nuovo aggiornamento bisogna pagare anche per la virtualizzazione di linux e mac. Pessimi,1.00,IT,1.4.0,2019-04-18T09:02:11,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LCob_Y9wn1sP1SdIS0vF_yg,it
Bear_TheWolf,"Free App",You don't even get a trial with this it instantly starts trying to chage you. Putting lite in the name is deceptive.,"Free App",You don't even get a trial with this it instantly starts trying to chage you. Putting lite in the name is deceptive.,1.00,US,1.4.0,2019-04-15T04:12:34,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432Lf0C8C62Y8lTGtQzIq68s3w,en
General Dani,Predatory Business Model,"I purchased parallels 8 back in the day to run Windows on my mac. Being a student I had to bite the bullet for such a cost but I did it anyway. A few months went by and they came up with paralles 9 and I realized that to continue to get the later features I would have to buy a parallels 9. That's one of the worst business models. 
That being said, they somewhat made up for it by allowing users to run Linux for free using the Lite version. Well none of that anymore as well. I find it very strange that a company making a generally good product has such a bad business model",Predatory Business Model,"I purchased parallels 8 back in the day to run Windows on my mac. Being a student I had to bite the bullet for such a cost but I did it anyway. A few months went by and they came up with paralles 9 and I realized that to continue to get the later features I would have to buy a parallels 9. That's one of the worst business models. 
That being said, they somewhat made up for it by allowing users to run Linux for free using the Lite version. Well none of that anymore as well. I find it very strange that a company making a generally good product has such a bad business model",2.00,US,1.4.0,2019-04-15T03:37:48,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LrFP8kdvGnkX5hN5cwott6Q,en
iWiPhi,Simply great!,C.f. headline.,Simply great!,C.f. headline.,5.00,SE,1.4.0,2019-04-14T16:07:57,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432L3XEU1ASV2-6WrUWpEPTZig,"en;br;da;la;no"
KSW_369,Happy,It does its job without creating headaches.,Contento,Fa il suo lavoro senza creare mal di testa.,5.00,IT,1.4.0,2019-04-13T12:40:05,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432L6NiVodZCR8b5lEaRiXeSHQ,it
MisakaImouto,They want you to pay for something your computer can do for free,"Your computer has the ability to run Windows and other operating systems right now, without this app. All this app does is give you a clean interface to use that functionality.",They want you to pay for something your computer can do for free,"Your computer has the ability to run Windows and other operating systems right now, without this app. All this app does is give you a clean interface to use that functionality.",1.00,US,1.4.0,2019-04-13T03:11:27,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432L1HEmB-8l3i8-XoJEMj9_Lg,en
Dev_82,Worst Purchase ever,"Be careful !!, they set an automatic subscription renewal ! 79 € ....",Worst Purchase ever,"Be careful !!, they set an automatic subscription renewal ! 79 € ....",1.00,DE,1.4.0,2019-04-12T19:06:07,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LzPW-vpSwZq3-445Na6zSdw,"en;la;oc;ro"
Lattanothun,Now a paid service,"This is now a paid service, no longer free to use Linux and MacOS VMs and the price is pretty steep at $80 per year. Switch to Virtualbox, which isn't as easy to set up but completely free.",Now a paid service,"This is now a paid service, no longer free to use Linux and MacOS VMs and the price is pretty steep at $80 per year. Switch to Virtualbox, which isn't as easy to set up but completely free.",1.00,US,1.4.0,2019-04-12T16:00:06,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LIHlboyCj50wXJLOmdUAMgw,en
chirpy dragon,Flowless experience,"I was using relatively simple and stightforward task - to work with Visio and MS Project on the Mac. I wanted to stay within MacOS X, therefore virtualisation is the only solution. Parallels worked like a charm for me. I barely read anything how to work with it and I created somehow machine, installed Win10, Installed VISO, MS Project and Office and everyting is workung. Little laboring how to allow Parallels to see resources on the Mac, but smooth. I my find troubles later, so far so good...",Flowless experience,"I was using relatively simple and stightforward task - to work with Visio and MS Project on the Mac. I wanted to stay within MacOS X, therefore virtualisation is the only solution. Parallels worked like a charm for me. I barely read anything how to work with it and I created somehow machine, installed Win10, Installed VISO, MS Project and Office and everyting is workung. Little laboring how to allow Parallels to see resources on the Mac, but smooth. I my find troubles later, so far so good...",5.00,CZ,1.4.0,2019-04-11T08:56:55,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432Lm9Y-8L-i5nh0sTbXf85tqg,en
KTDUbya,No Longer Working,"It was great during the 14 day trial.  I paid for the subscription but now it will not open for me.  It keeps trying to make me pay for another suscription plan.  I opened a ticket and the only response I got was to restart or uninstall and reinstall.  I’ve done all of those things, so then I clicked on the link that was sent to me to use if nothing else worked and that link was an error code (link not found). Why is there not a contact us link on your page and why can’t I open a chat?  I will have open a complaint if I can’t get on within the next couple of days.  I don’t believe in paying for nothing.  
UPDATE:  This review did get a response for a little bit.  I opened the tech report and sent the two screenshots they asked for and have heard nothing since.  It’s been two weeks.  I don’t need the aggravation, I just want my money back since I have no more access.  Who do I contact for that?",No Longer Working,"It was great during the 14 day trial.  I paid for the subscription but now it will not open for me.  It keeps trying to make me pay for another suscription plan.  I opened a ticket and the only response I got was to restart or uninstall and reinstall.  I’ve done all of those things, so then I clicked on the link that was sent to me to use if nothing else worked and that link was an error code (link not found). Why is there not a contact us link on your page and why can’t I open a chat?  I will have open a complaint if I can’t get on within the next couple of days.  I don’t believe in paying for nothing.  
UPDATE:  This review did get a response for a little bit.  I opened the tech report and sent the two screenshots they asked for and have heard nothing since.  It’s been two weeks.  I don’t need the aggravation, I just want my money back since I have no more access.  Who do I contact for that?",1.00,US,1.4.0,2019-04-10T18:03:30,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LHJsXJ6n0-m7wspdeWShWig,en
